IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:56.000000, arriveTime:62.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:56.000000, arriveTime:62.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:57.000000, arriveTime:62.000000
IntervalTime:52.000000, sinkNodeId:27, sId:2, startTime:10.000000, arriveTime:62.000000
IntervalTime:32.000000, sinkNodeId:27, sId:2, startTime:30.000000, arriveTime:62.000000
IntervalTime:27.000000, sinkNodeId:27, sId:1, startTime:35.000000, arriveTime:62.000000
IntervalTime:27.000000, sinkNodeId:27, sId:2, startTime:35.000000, arriveTime:62.000000
IntervalTime:9.000000, sinkNodeId:27, sId:1, startTime:53.000000, arriveTime:62.000000
IntervalTime:15.000000, sinkNodeId:27, sId:1, startTime:48.000000, arriveTime:63.000000
IntervalTime:15.000000, sinkNodeId:27, sId:1, startTime:48.000000, arriveTime:63.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:56.000000, arriveTime:63.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:57.000000, arriveTime:63.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:62.000000, arriveTime:63.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:57.000000, arriveTime:63.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:58.000000, arriveTime:63.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:58.000000, arriveTime:63.000000
IntervalTime:41.000000, sinkNodeId:27, sId:2, startTime:22.000000, arriveTime:63.000000
IntervalTime:56.000000, sinkNodeId:27, sId:2, startTime:7.000000, arriveTime:63.000000
IntervalTime:32.000000, sinkNodeId:27, sId:2, startTime:31.000000, arriveTime:63.000000
IntervalTime:48.000000, sinkNodeId:27, sId:1, startTime:15.000000, arriveTime:63.000000
IntervalTime:24.000000, sinkNodeId:27, sId:1, startTime:39.000000, arriveTime:63.000000
IntervalTime:22.000000, sinkNodeId:27, sId:1, startTime:41.000000, arriveTime:63.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:58.000000, arriveTime:64.000000
IntervalTime:18.000000, sinkNodeId:27, sId:1, startTime:46.000000, arriveTime:64.000000
IntervalTime:18.000000, sinkNodeId:27, sId:1, startTime:46.000000, arriveTime:64.000000
IntervalTime:18.000000, sinkNodeId:27, sId:1, startTime:46.000000, arriveTime:64.000000
IntervalTime:16.000000, sinkNodeId:27, sId:1, startTime:48.000000, arriveTime:64.000000
IntervalTime:9.000000, sinkNodeId:27, sId:1, startTime:55.000000, arriveTime:64.000000
IntervalTime:16.000000, sinkNodeId:27, sId:1, startTime:48.000000, arriveTime:64.000000
IntervalTime:6.000000, sinkNodeId:27, sId:1, startTime:58.000000, arriveTime:64.000000
IntervalTime:17.000000, sinkNodeId:27, sId:2, startTime:47.000000, arriveTime:64.000000
IntervalTime:63.000000, sinkNodeId:27, sId:2, startTime:1.000000, arriveTime:64.000000
IntervalTime:18.000000, sinkNodeId:27, sId:2, startTime:46.000000, arriveTime:64.000000
IntervalTime:10.000000, sinkNodeId:27, sId:1, startTime:54.000000, arriveTime:64.000000
IntervalTime:25.000000, sinkNodeId:27, sId:1, startTime:39.000000, arriveTime:64.000000
IntervalTime:37.000000, sinkNodeId:27, sId:1, startTime:27.000000, arriveTime:64.000000
IntervalTime:24.000000, sinkNodeId:27, sId:1, startTime:41.000000, arriveTime:65.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:60.000000, arriveTime:65.000000
IntervalTime:1.000000, sinkNodeId:27, sId:1, startTime:64.000000, arriveTime:65.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:58.000000, arriveTime:65.000000
IntervalTime:5.000000, sinkNodeId:27, sId:1, startTime:60.000000, arriveTime:65.000000
IntervalTime:4.000000, sinkNodeId:27, sId:1, startTime:61.000000, arriveTime:65.000000
IntervalTime:53.000000, sinkNodeId:27, sId:2, startTime:12.000000, arriveTime:65.000000
IntervalTime:31.000000, sinkNodeId:27, sId:2, startTime:34.000000, arriveTime:65.000000
IntervalTime:7.000000, sinkNodeId:27, sId:1, startTime:58.000000, arriveTime:65.000000
IntervalTime:30.000000, sinkNodeId:27, sId:1, startTime:35.000000, arriveTime:65.000000
