time:116.000000, sinkNodeId:27, sId:1, number:1
time:117.000000, sinkNodeId:27, sId:1, number:6
time:117.000000, sinkNodeId:27, sId:2, number:1
time:117.000000, sinkNodeId:27, sId:2, number:1
time:117.000000, sinkNodeId:27, sId:1, number:1
time:117.000000, sinkNodeId:27, sId:2, number:1
time:117.000000, sinkNodeId:27, sId:1, number:1
time:118.000000, sinkNodeId:27, sId:1, number:4
time:118.000000, sinkNodeId:27, sId:2, number:1
time:118.000000, sinkNodeId:27, sId:2, number:1
time:118.000000, sinkNodeId:27, sId:1, number:1
time:118.000000, sinkNodeId:27, sId:2, number:1
time:118.000000, sinkNodeId:27, sId:1, number:1
time:119.000000, sinkNodeId:27, sId:1, number:3
time:119.000000, sinkNodeId:27, sId:2, number:2
time:119.000000, sinkNodeId:27, sId:2, number:1
time:119.000000, sinkNodeId:27, sId:1, number:1
time:119.000000, sinkNodeId:27, sId:2, number:1
time:119.000000, sinkNodeId:27, sId:1, number:1
time:120.000000, sinkNodeId:27, sId:1, number:3
time:120.000000, sinkNodeId:27, sId:2, number:2
time:120.000000, sinkNodeId:27, sId:2, number:1
time:120.000000, sinkNodeId:27, sId:1, number:1
time:120.000000, sinkNodeId:27, sId:2, number:1
